coarse
fold roc       pr        
1    0.814     0.490     
2    0.867     0.659     
3    0.788     0.468     
4    0.772     0.452     
5    0.844     0.529     
6    0.853     0.605     
7    0.844     0.612     
8    0.813     0.565     
9    0.827     0.560     
10   0.862     0.588     
avg  0.828     0.553      
