fine
fold roc       pr        
1    0.839     0.544     
2    0.819     0.515     
3    0.824     0.540     
4    0.887     0.621     
5    0.855     0.622     
6    0.823     0.523     
7    0.811     0.527     
8    0.830     0.601     
9    0.809     0.614     
10   0.828     0.557     
avg  0.833     0.566      
