fine
fold roc       pr        
1    0.825     0.599     
2    0.848     0.644     
3    0.814     0.563     
4    0.828     0.645     
5    0.813     0.539     
6    0.790     0.518     
7    0.775     0.485     
8    0.794     0.526     
9    0.786     0.531     
10   0.757     0.516     
avg  0.803     0.556      
