       coarse                      fine        
99  0.901,0.350,0.815        99  0.995,0.977,0.929
100 0.901,0.350,0.817        100 0.995,0.977,0.930
101 0.901,0.347,0.816        101 0.995,0.977,0.930
102 0.901,0.348,0.814        102 0.995,0.977,0.930
103 0.901,0.349,0.814        103 0.995,0.977,0.929
104 0.900,0.355,0.812        104 0.995,0.977,0.929
105 0.899,0.354,0.813        105 0.995,0.978,0.929
106 0.898,0.351,0.816        106 0.995,0.978,0.930
107 0.898,0.356,0.815        107 0.995,0.978,0.930
108 0.898,0.355,0.815        108 0.995,0.978,0.930
109 0.899,0.359,0.812        109 0.995,0.978,0.928
110 0.898,0.358,0.812        110 0.995,0.978,0.928
111 0.899,0.359,0.811        111 0.995,0.978,0.928
112 0.898,0.360,0.811        112 0.995,0.978,0.928
113 0.899,0.362,0.811        113 0.995,0.978,0.928
114 0.898,0.358,0.812        114 0.995,0.978,0.928
115 0.898,0.358,0.812        115 0.995,0.978,0.929
116 0.897,0.356,0.812        116 0.995,0.978,0.929
117 0.898,0.359,0.812        117 0.995,0.978,0.929
118 0.898,0.360,0.812        118 0.995,0.978,0.929
119 0.897,0.360,0.810        119 0.995,0.978,0.930
120 0.898,0.362,0.810        120 0.995,0.978,0.930
121 0.897,0.360,0.810        121 0.995,0.978,0.930
122 0.897,0.362,0.810        122 0.995,0.978,0.930
123 0.897,0.363,0.808        123 0.995,0.978,0.929
124 0.898,0.361,0.809        124 0.995,0.977,0.929
125 0.898,0.362,0.809        125 0.995,0.977,0.929
126 0.898,0.362,0.809        126 0.995,0.977,0.929
127 0.898,0.364,0.808        127 0.995,0.978,0.929
128 0.898,0.365,0.809        128 0.995,0.978,0.929
129 0.897,0.362,0.807        129 0.995,0.978,0.929
130 0.897,0.360,0.806        130 0.995,0.978,0.929
131 0.896,0.368,0.806        131 0.995,0.978,0.929
132 0.896,0.362,0.806        132 0.995,0.978,0.931
133 0.897,0.365,0.806        133 0.995,0.978,0.929
134 0.897,0.367,0.806        134 0.995,0.978,0.931
135 0.899,0.368,0.807        135 0.995,0.978,0.931
136 0.898,0.365,0.805        136 0.995,0.978,0.931
137 0.898,0.366,0.805        137 0.995,0.978,0.931
138 0.898,0.365,0.805        138 0.995,0.978,0.929
139 0.898,0.366,0.805        139 0.995,0.978,0.929
140 0.899,0.368,0.807        140 0.995,0.978,0.929
141 0.898,0.368,0.805        141 0.995,0.978,0.931
142 0.899,0.372,0.808        142 0.995,0.978,0.930
143 0.898,0.372,0.808        143 0.995,0.978,0.931
144 0.900,0.375,0.807        144 0.995,0.978,0.930
145 0.899,0.374,0.807        145 0.995,0.978,0.930
146 0.901,0.377,0.809        146 0.995,0.978,0.929
147 0.902,0.370,0.807        147 0.995,0.978,0.928
148 0.902,0.370,0.806        148 0.995,0.978,0.928
149 0.902,0.370,0.807        149 0.995,0.978,0.928
150 0.902,0.369,0.801        150 0.995,0.978,0.928
151 0.902,0.369,0.802        151 0.995,0.978,0.928
152 0.902,0.369,0.802        152 0.995,0.978,0.929
153 0.902,0.369,0.801        153 0.995,0.978,0.929
154 0.902,0.369,0.802        154 0.995,0.978,0.930
155 0.901,0.368,0.801        155 0.995,0.978,0.930
