coarse
fold roc       pr        
1    0.916     0.760     
2    0.893     0.750     
3    0.923     0.777     
4    0.868     0.767     
5    0.897     0.754     
6    0.916     0.806     
7    0.859     0.719     
8    0.867     0.711     
9    0.895     0.733     
10   0.883     0.750     
avg  0.892     0.753      
