fold, roc_auc, pr_auc
1, 0.844919495213, 0.555740199033
2, 0.83839208007, 0.557815100566
3, 0.861374020888, 0.588259816741
4, 0.869478894691, 0.66345678765
5, 0.870458006963, 0.607223186795
6, 0.840187119234, 0.556021586018
7, 0.8267243255, 0.56210381641
8, 0.88133534841, 0.565602383556
9, 0.817536568252, 0.521581775303
10, 0.86087478185, 0.595403954772
