fine
fold roc       pr        
1    0.878     0.339     
2    0.838     0.328     
3    0.869     0.398     
4    0.899     0.337     
5    0.864     0.384     
6    0.880     0.391     
7    0.878     0.342     
8    0.867     0.343     
9    0.873     0.351     
10   0.863     0.378     
avg  0.871     0.359      
