       coarse                      fine        
100 0.894,0.393,0.895        100 0.995,0.978,0.951
101 0.894,0.394,0.895        101 0.995,0.978,0.949
102 0.894,0.393,0.893        102 0.995,0.978,0.949
103 0.894,0.393,0.891        103 0.995,0.978,0.949
104 0.894,0.394,0.890        104 0.995,0.978,0.949
105 0.894,0.389,0.888        105 0.995,0.978,0.949
106 0.894,0.391,0.886        106 0.995,0.978,0.949
107 0.894,0.391,0.884        107 0.995,0.978,0.949
108 0.894,0.390,0.882        108 0.995,0.978,0.949
109 0.893,0.391,0.881        109 0.995,0.978,0.948
110 0.893,0.391,0.879        110 0.995,0.978,0.948
111 0.894,0.388,0.879        111 0.995,0.978,0.948
112 0.892,0.385,0.881        112 0.995,0.978,0.949
113 0.893,0.386,0.881        113 0.995,0.978,0.949
114 0.893,0.385,0.878        114 0.995,0.978,0.949
115 0.893,0.385,0.878        115 0.995,0.978,0.949
116 0.893,0.385,0.877        116 0.995,0.978,0.950
117 0.893,0.385,0.876        117 0.995,0.978,0.949
118 0.893,0.387,0.875        118 0.995,0.978,0.949
119 0.894,0.388,0.873        119 0.995,0.978,0.948
120 0.894,0.389,0.873        120 0.995,0.978,0.948
121 0.894,0.389,0.872        121 0.995,0.978,0.949
122 0.894,0.394,0.870        122 0.995,0.978,0.949
123 0.894,0.393,0.869        123 0.995,0.978,0.949
124 0.895,0.394,0.868        124 0.995,0.978,0.949
125 0.895,0.394,0.869        125 0.995,0.978,0.949
126 0.895,0.394,0.868        126 0.995,0.978,0.949
127 0.895,0.393,0.867        127 0.995,0.978,0.948
128 0.896,0.397,0.864        128 0.995,0.978,0.948
129 0.895,0.398,0.863        129 0.995,0.978,0.948
130 0.896,0.399,0.862        130 0.995,0.978,0.947
131 0.896,0.400,0.861        131 0.995,0.978,0.948
132 0.898,0.401,0.862        132 0.995,0.978,0.948
133 0.898,0.402,0.861        133 0.995,0.978,0.948
134 0.898,0.400,0.860        134 0.995,0.978,0.948
135 0.898,0.400,0.860        135 0.995,0.978,0.948
136 0.898,0.400,0.859        136 0.995,0.978,0.947
137 0.898,0.400,0.858        137 0.995,0.978,0.947
138 0.899,0.401,0.855        138 0.995,0.978,0.947
139 0.900,0.401,0.853        139 0.995,0.978,0.946
140 0.900,0.401,0.849        140 0.995,0.978,0.946
141 0.900,0.402,0.848        141 0.995,0.978,0.947
142 0.900,0.399,0.850        142 0.995,0.978,0.948
143 0.900,0.399,0.848        143 0.995,0.978,0.948
144 0.900,0.398,0.848        144 0.995,0.978,0.947
145 0.900,0.399,0.847        145 0.995,0.978,0.947
146 0.900,0.395,0.845        146 0.995,0.978,0.947
147 0.900,0.395,0.844        147 0.995,0.978,0.946
148 0.900,0.395,0.844        148 0.995,0.978,0.946
149 0.900,0.394,0.844        149 0.995,0.978,0.946
150 0.900,0.389,0.843        150 0.995,0.978,0.945
151 0.900,0.388,0.842        151 0.995,0.978,0.945
152 0.900,0.388,0.841        152 0.995,0.978,0.946
153 0.900,0.388,0.841        153 0.995,0.978,0.946
154 0.900,0.389,0.840        154 0.995,0.978,0.946
155 0.900,0.393,0.841        155 0.995,0.978,0.945
156 0.902,0.392,0.837        156 0.995,0.978,0.943
157 0.903,0.396,0.837        157 0.995,0.978,0.943
158 0.903,0.396,0.836        158 0.995,0.978,0.942
159 0.904,0.395,0.835        159 0.995,0.978,0.941
160 0.904,0.395,0.836        160 0.995,0.978,0.940
161 0.904,0.395,0.834        161 0.995,0.978,0.941
162 0.904,0.395,0.834        162 0.995,0.978,0.940
163 0.904,0.395,0.834        163 0.995,0.978,0.939
164 0.905,0.394,0.831        164 0.995,0.978,0.939
165 0.905,0.394,0.830        165 0.995,0.978,0.941
166 0.905,0.394,0.830        166 0.995,0.978,0.941
167 0.905,0.394,0.829        167 0.995,0.978,0.940
168 0.905,0.394,0.829        168 0.995,0.978,0.940
169 0.905,0.393,0.828        169 0.995,0.978,0.940
170 0.905,0.389,0.824        170 0.995,0.978,0.940
171 0.905,0.390,0.822        171 0.995,0.978,0.940
172 0.905,0.390,0.821        172 0.995,0.978,0.939
173 0.905,0.389,0.821        173 0.995,0.978,0.939
174 0.905,0.394,0.823        174 0.995,0.978,0.938
175 0.905,0.395,0.823        175 0.995,0.978,0.937
176 0.905,0.395,0.821        176 0.995,0.978,0.937
177 0.905,0.395,0.822        177 0.995,0.978,0.936
178 0.905,0.394,0.821        178 0.995,0.978,0.936
179 0.905,0.397,0.819        179 0.995,0.978,0.935
180 0.905,0.399,0.818        180 0.995,0.978,0.935
