       coarse                      fine        
1   0.839,0.834        1   0.805,0.800
2   0.841,0.838        2   0.802,0.798
3   0.846,0.838        3   0.798,0.796
4   0.845,0.841        4   0.802,0.798
5   0.845,0.842        5   0.806,0.802
6   0.847,0.847        6   0.817,0.811
7   0.853,0.849        7   0.815,0.812
8   0.856,0.850        8   0.819,0.815
9   0.856,0.853        9   0.816,0.814
10  0.852,0.849        10  0.817,0.817
11  0.852,0.849        11  0.821,0.821
12  0.851,0.847        12  0.825,0.826
13  0.852,0.849        13  0.821,0.825
14  0.855,0.851        14  0.821,0.823
15  0.861,0.856        15  0.824,0.824
16  0.862,0.856        16  0.823,0.824
17  0.861,0.857        17  0.827,0.829
18  0.863,0.859        18  0.825,0.828
19  0.862,0.859        19  0.826,0.830
20  0.860,0.858        20  0.831,0.836
21  0.863,0.860        21  0.833,0.837
22  0.866,0.864        22  0.838,0.841
23  0.866,0.865        23  0.842,0.845
24  0.865,0.865        24  0.843,0.847
25  0.865,0.864        25  0.843,0.850
26  0.867,0.866        26  0.843,0.850
27  0.870,0.868        27  0.843,0.852
28  0.873,0.871        28  0.847,0.854
29  0.875,0.874        29  0.855,0.859
30  0.875,0.874        30  0.857,0.862
31  0.878,0.876        31  0.863,0.865
32  0.881,0.877        32  0.864,0.866
33  0.881,0.878        33  0.866,0.868
34  0.885,0.881        34  0.868,0.873
35  0.884,0.881        35  0.865,0.873
36  0.888,0.883        36  0.866,0.874
37  0.889,0.883        37  0.869,0.876
38  0.889,0.881        38  0.869,0.876
39  0.889,0.882        39  0.869,0.877
40  0.891,0.883        40  0.870,0.876
41  0.891,0.884        41  0.870,0.876
42  0.890,0.883        42  0.870,0.877
43  0.889,0.883        43  0.868,0.876
44  0.889,0.883        44  0.867,0.875
45  0.889,0.882        45  0.869,0.876
46  0.889,0.882        46  0.870,0.877
47  0.888,0.883        47  0.870,0.878
48  0.889,0.883        48  0.873,0.880
49  0.887,0.881        49  0.873,0.881
50  0.886,0.881        50  0.877,0.883
51  0.887,0.881        51  0.877,0.883
52  0.887,0.882        52  0.876,0.882
53  0.885,0.881        53  0.877,0.883
54  0.885,0.881        54  0.877,0.882
55  0.886,0.881        55  0.877,0.883
56  0.886,0.882        56  0.880,0.885
57  0.891,0.886        57  0.876,0.883
58  0.892,0.886        58  0.878,0.885
59  0.894,0.886        59  0.880,0.886
60  0.894,0.887        60  0.879,0.886
61  0.893,0.886        61  0.878,0.885
62  0.892,0.886        62  0.879,0.887
63  0.892,0.886        63  0.883,0.889
64  0.894,0.889        64  0.883,0.890
65  0.893,0.886        65  0.882,0.889
66  0.892,0.885        66  0.884,0.891
67  0.894,0.885        67  0.885,0.892
68  0.893,0.885        68  0.885,0.892
69  0.895,0.887        69  0.883,0.891
70  0.896,0.887        70  0.885,0.893
71  0.896,0.888        71  0.884,0.892
72  0.895,0.888        72  0.884,0.892
73  0.895,0.888        73  0.886,0.893
74  0.895,0.889        74  0.883,0.890
75  0.895,0.888        75  0.883,0.889
76  0.895,0.889        76  0.884,0.890
77  0.895,0.890        77  0.884,0.890
78  0.896,0.890        78  0.885,0.891
79  0.895,0.890        79  0.885,0.891
80  0.899,0.893        80  0.886,0.892
81  0.899,0.893        81  0.887,0.893
82  0.899,0.893        82  0.887,0.894
83  0.898,0.892        83  0.887,0.894
84  0.898,0.892        84  0.886,0.893
85  0.897,0.891        85  0.886,0.894
86  0.898,0.891        86  0.886,0.894
87  0.898,0.892        87  0.885,0.892
88  0.898,0.891        88  0.885,0.892
89  0.898,0.892        89  0.884,0.891
90  0.899,0.893        90  0.884,0.892
91  0.899,0.893        91  0.884,0.892
92  0.899,0.893        92  0.884,0.892
93  0.899,0.893        93  0.882,0.889
94  0.899,0.892        94  0.882,0.889
95  0.897,0.892        95  0.882,0.889
96  0.896,0.892        96  0.882,0.889
97  0.897,0.891        97  0.883,0.890
98  0.897,0.891        98  0.883,0.890
99  0.899,0.894        99  0.883,0.890
100 0.900,0.894        100 0.886,0.892
101 0.900,0.895        101 0.885,0.891
102 0.901,0.895        102 0.884,0.890
103 0.902,0.895        103 0.885,0.886
104 0.901,0.894        104 0.884,0.885
105 0.901,0.894        105 0.885,0.887
106 0.901,0.894        106 0.884,0.886
107 0.901,0.894        107 0.885,0.887
108 0.901,0.894        108 0.885,0.888
109 0.901,0.894        109 0.885,0.888
110 0.901,0.894        110 0.886,0.888
111 0.901,0.894        111 0.887,0.889
112 0.900,0.893        112 0.886,0.894
113 0.900,0.894        113 0.885,0.888
114 0.900,0.893        114 0.886,0.889
115 0.899,0.893        115 0.885,0.894
116 0.900,0.892        116 0.885,0.894
117 0.899,0.892        117 0.885,0.894
118 0.900,0.892        118 0.885,0.894
119 0.900,0.893        119 0.886,0.895
120 0.900,0.893        120 0.885,0.895
121 0.900,0.893        121 0.885,0.895
122 0.900,0.894        122 0.883,0.894
123 0.900,0.894        123 0.884,0.894
124 0.896,0.891        124 0.884,0.894
125 0.896,0.890        125 0.884,0.894
126 0.896,0.890        126 0.884,0.894
127 0.896,0.890        127 0.885,0.894
128 0.897,0.890        128 0.885,0.895
129 0.897,0.891        129 0.884,0.894
130 0.899,0.893        130 0.884,0.894
131 0.899,0.892        131 0.883,0.893
132 0.899,0.892        132 0.882,0.893
133 0.898,0.892        133 0.885,0.894
134 0.900,0.892        134 0.885,0.895
135 0.900,0.892        135 0.886,0.895
136 0.900,0.892        136 0.884,0.894
137 0.900,0.893        137 0.885,0.895
138 0.900,0.893        138 0.886,0.895
139 0.900,0.893        139 0.886,0.895
140 0.899,0.892        140 0.886,0.895
141 0.900,0.893        141 0.888,0.896
142 0.900,0.893        142 0.889,0.897
143 0.900,0.892        143 0.888,0.896
144 0.900,0.893        144 0.888,0.896
145 0.900,0.893        145 0.887,0.896
146 0.900,0.892        146 0.886,0.895
147 0.900,0.892        147 0.887,0.896
148 0.900,0.892        148 0.887,0.896
149 0.899,0.892        149 0.887,0.896
150 0.899,0.892        150 0.886,0.895
151 0.899,0.892        151 0.886,0.896
152 0.898,0.892        152 0.886,0.896
153 0.899,0.892        153 0.887,0.896
154 0.899,0.892        154 0.888,0.896
155 0.900,0.892        155 0.888,0.896
156 0.900,0.892        156 0.888,0.896
157 0.899,0.891        157 0.888,0.896
158 0.899,0.890        158 0.889,0.897
159 0.899,0.890        159 0.889,0.897
160 0.899,0.890        160 0.888,0.896
161 0.899,0.890        161 0.888,0.896
162 0.899,0.890        162 0.887,0.896
163 0.901,0.890        163 0.888,0.896
164 0.901,0.891        164 0.888,0.896
165 0.901,0.891        165 0.887,0.896
166 0.902,0.892        166 0.887,0.896
167 0.901,0.892        167 0.887,0.895
168 0.901,0.891        168 0.886,0.895
169 0.902,0.892        169 0.887,0.895
170 0.903,0.893        170 0.888,0.890
171 0.904,0.894        171 0.888,0.891
